date,er_visits
2020-01-01,2113.61
2020-01-02,2113.61
2020-01-03,2113.61
2020-01-04,2113.61
2020-01-05,2113.61
2020-01-06,2113.61
2020-01-07,2113.61
2020-01-08,2113.61
2020-01-09,2113.61
2020-01-10,2113.61
2020-01-11,2113.61
2020-01-12,2113.61
2020-01-13,2113.61
2020-01-14,2113.61
2020-01-15,2113.61
2020-01-16,2113.61
2020-01-17,2113.61
2020-01-18,2113.61
2020-01-19,2113.61
2020-01-20,2113.61
2020-01-21,2113.61
2020-01-22,2113.61
2020-01-23,2113.61
2020-01-24,2113.61
2020-01-25,2113.61
2020-01-26,2113.61
2020-01-27,2113.61
2020-01-28,2113.61
2020-01-29,2113.61
2020-01-30,2113.61
2020-01-31,2113.61
2020-02-01,1509.1
2020-02-02,1509.1
2020-02-03,1509.1
2020-02-04,1509.1
2020-02-05,1509.1
2020-02-06,1509.1
2020-02-07,1509.1
2020-02-08,1509.1
2020-02-09,1509.1
2020-02-10,1509.1
2020-02-11,1509.1
2020-02-12,1509.1
2020-02-13,1509.1
2020-02-14,1509.1
2020-02-15,1509.1
2020-02-16,1509.1
2020-02-17,1509.1
2020-02-18,1509.1
2020-02-19,1509.1
2020-02-20,1509.1
2020-02-21,1509.1
2020-02-22,1509.1
2020-02-23,1509.1
2020-02-24,1509.1
2020-02-25,1509.1
2020-02-26,1509.1
2020-02-27,1509.1
2020-02-28,1509.1
2020-02-29,1509.1
2020-03-01,1220.87
2020-03-02,1220.87
2020-03-03,1220.87
2020-03-04,1220.87
2020-03-05,1220.87
2020-03-06,1220.87
2020-03-07,1220.87
2020-03-08,1220.87
2020-03-09,1220.87
2020-03-10,1220.87
2020-03-11,1220.87
2020-03-12,1220.87
2020-03-13,1220.87
2020-03-14,1220.87
2020-03-15,1220.87
2020-03-16,1220.87
2020-03-17,1220.87
2020-03-18,1220.87
2020-03-19,1220.87
2020-03-20,1220.87
2020-03-21,1220.87
2020-03-22,1220.87
2020-03-23,1220.87
2020-03-24,1220.87
2020-03-25,1220.87
2020-03-26,1220.87
2020-03-27,1220.87
2020-03-28,1220.87
2020-03-29,1220.87
2020-03-30,1220.87
2020-03-31,1220.87
2020-04-01,1326.07
2020-04-02,1326.07
2020-04-03,1326.07
2020-04-04,1326.07
2020-04-05,1326.07
2020-04-06,1326.07
2020-04-07,1326.07
2020-04-08,1326.07
2020-04-09,1326.07
2020-04-10,1326.07
2020-04-11,1326.07
2020-04-12,1326.07
2020-04-13,1326.07
2020-04-14,1326.07
2020-04-15,1326.07
2020-04-16,1326.07
2020-04-17,1326.07
2020-04-18,1326.07
2020-04-19,1326.07
2020-04-20,1326.07
2020-04-21,1326.07
2020-04-22,1326.07
2020-04-23,1326.07
2020-04-24,1326.07
2020-04-25,1326.07
2020-04-26,1326.07
2020-04-27,1326.07
2020-04-28,1326.07
2020-04-29,1326.07
2020-04-30,1326.07
2020-05-01,1583.71
2020-05-02,1583.71
2020-05-03,1583.71
2020-05-04,1583.71
2020-05-05,1583.71
2020-05-06,1583.71
2020-05-07,1583.71
2020-05-08,1583.71
2020-05-09,1583.71
2020-05-10,1583.71
2020-05-11,1583.71
2020-05-12,1583.71
2020-05-13,1583.71
2020-05-14,1583.71
2020-05-15,1583.71
2020-05-16,1583.71
2020-05-17,1583.71
2020-05-18,1583.71
2020-05-19,1583.71
2020-05-20,1583.71
2020-05-21,1583.71
2020-05-22,1583.71
2020-05-23,1583.71
2020-05-24,1583.71
2020-05-25,1583.71
2020-05-26,1583.71
2020-05-27,1583.71
2020-05-28,1583.71
2020-05-29,1583.71
2020-05-30,1583.71
2020-05-31,1583.71
2020-06-01,1591.07
2020-06-02,1591.07
2020-06-03,1591.07
2020-06-04,1591.07
2020-06-05,1591.07
2020-06-06,1591.07
2020-06-07,1591.07
2020-06-08,1591.07
2020-06-09,1591.07
2020-06-10,1591.07
2020-06-11,1591.07
2020-06-12,1591.07
2020-06-13,1591.07
2020-06-14,1591.07
2020-06-15,1591.07
2020-06-16,1591.07
2020-06-17,1591.07
2020-06-18,1591.07
2020-06-19,1591.07
2020-06-20,1591.07
2020-06-21,1591.07
2020-06-22,1591.07
2020-06-23,1591.07
2020-06-24,1591.07
2020-06-25,1591.07
2020-06-26,1591.07
2020-06-27,1591.07
2020-06-28,1591.07
2020-06-29,1591.07
2020-06-30,1591.07
2020-07-01,1576.16
2020-07-02,1576.16
2020-07-03,1576.16
2020-07-04,1576.16
2020-07-05,1576.16
2020-07-06,1576.16
2020-07-07,1576.16
2020-07-08,1576.16
2020-07-09,1576.16
2020-07-10,1576.16
2020-07-11,1576.16
2020-07-12,1576.16
2020-07-13,1576.16
2020-07-14,1576.16
2020-07-15,1576.16
2020-07-16,1576.16
2020-07-17,1576.16
2020-07-18,1576.16
2020-07-19,1576.16
2020-07-20,1576.16
2020-07-21,1576.16
2020-07-22,1576.16
2020-07-23,1576.16
2020-07-24,1576.16
2020-07-25,1576.16
2020-07-26,1576.16
2020-07-27,1576.16
2020-07-28,1576.16
2020-07-29,1576.16
2020-07-30,1576.16
2020-07-31,1576.16
2020-08-01,1497.0
2020-08-02,1497.0
2020-08-03,1497.0
2020-08-04,1497.0
2020-08-05,1497.0
2020-08-06,1497.0
2020-08-07,1497.0
2020-08-08,1497.0
2020-08-09,1497.0
2020-08-10,1497.0
2020-08-11,1497.0
2020-08-12,1497.0
2020-08-13,1497.0
2020-08-14,1497.0
2020-08-15,1497.0
2020-08-16,1497.0
2020-08-17,1497.0
2020-08-18,1497.0
2020-08-19,1497.0
2020-08-20,1497.0
2020-08-21,1497.0
2020-08-22,1497.0
2020-08-23,1497.0
2020-08-24,1497.0
2020-08-25,1497.0
2020-08-26,1497.0
2020-08-27,1497.0
2020-08-28,1497.0
2020-08-29,1497.0
2020-08-30,1497.0
2020-08-31,1497.0
2020-09-01,1342.23
2020-09-02,1342.23
2020-09-03,1342.23
2020-09-04,1342.23
2020-09-05,1342.23
2020-09-06,1342.23
2020-09-07,1342.23
2020-09-08,1342.23
2020-09-09,1342.23
2020-09-10,1342.23
2020-09-11,1342.23
2020-09-12,1342.23
2020-09-13,1342.23
2020-09-14,1342.23
2020-09-15,1342.23
2020-09-16,1342.23
2020-09-17,1342.23
2020-09-18,1342.23
2020-09-19,1342.23
2020-09-20,1342.23
2020-09-21,1342.23
2020-09-22,1342.23
2020-09-23,1342.23
2020-09-24,1342.23
2020-09-25,1342.23
2020-09-26,1342.23
2020-09-27,1342.23
2020-09-28,1342.23
2020-09-29,1342.23
2020-09-30,1342.23
2020-10-01,1565.61
2020-10-02,1565.61
2020-10-03,1565.61
2020-10-04,1565.61
2020-10-05,1565.61
2020-10-06,1565.61
2020-10-07,1565.61
2020-10-08,1565.61
2020-10-09,1565.61
2020-10-10,1565.61
2020-10-11,1565.61
2020-10-12,1565.61
2020-10-13,1565.61
2020-10-14,1565.61
2020-10-15,1565.61
2020-10-16,1565.61
2020-10-17,1565.61
2020-10-18,1565.61
2020-10-19,1565.61
2020-10-20,1565.61
2020-10-21,1565.61
2020-10-22,1565.61
2020-10-23,1565.61
2020-10-24,1565.61
2020-10-25,1565.61
2020-10-26,1565.61
2020-10-27,1565.61
2020-10-28,1565.61
2020-10-29,1565.61
2020-10-30,1565.61
2020-10-31,1565.61
2020-11-01,1476.43
2020-11-02,1476.43
2020-11-03,1476.43
2020-11-04,1476.43
2020-11-05,1476.43
2020-11-06,1476.43
2020-11-07,1476.43
2020-11-08,1476.43
